league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-11-02 Dortmund-RB Leipzig,2024-11-02,18:30,Dortmund,2–1,RB Leipzig,81365,Signal Iduna Park,Tobias Stieler,/en/matches/7756d7d5/Dortmund-RB-Leipzig-November-2-2024-Bundesliga
GER-Bundesliga,2425,2024-11-02 Eintracht Frankfurt-Bochum,2024-11-02,15:30,Eintracht Frankfurt,7–2,Bochum,58000,Deutsche Bank Park,Daniel Schlager,/en/matches/f5fc1b23/Eintracht-Frankfurt-Bochum-November-2-2024-Bundesliga
GER-Bundesliga,2425,2024-11-02 Hoffenheim-St Pauli,2024-11-02,15:30,Hoffenheim,0–2,St Pauli,26199,PreZero Arena,Sascha Stegemann,/en/matches/2e0fc0d2/Hoffenheim-St-Pauli-November-2-2024-Bundesliga
GER-Bundesliga,2425,2024-11-02 Holstein Kiel-Heidenheim,2024-11-02,15:30,Holstein Kiel,1–0,Heidenheim,14405,Holstein-Stadion,Frank Willenborg,/en/matches/a51846c1/Holstein-Kiel-Heidenheim-November-2-2024-Bundesliga
GER-Bundesliga,2425,2024-11-02 Wolfsburg-Augsburg,2024-11-02,15:30,Wolfsburg,1–1,Augsburg,22654,Volkswagen Arena,Felix Brych,/en/matches/41c73b44/Wolfsburg-Augsburg-November-2-2024-Bundesliga
GER-Bundesliga,2425,2024-11-03 Freiburg-Mainz 05,2024-11-03,15:30,Freiburg,0–0,Mainz 05,34400,Europa-Park Stadion,Benjamin Brand,/en/matches/86485b52/Freiburg-Mainz-05-November-3-2024-Bundesliga
GER-Bundesliga,2425,2024-11-03 Gladbach-Werder Bremen,2024-11-03,17:30,Gladbach,4–1,Werder Bremen,54042,Stadion im Borussia-Park,Bastian Dankert,/en/matches/b9ce1157/Monchengladbach-Werder-Bremen-November-3-2024-Bundesliga
GER-Bundesliga,2425,2024-11-08 Union Berlin-Freiburg,2024-11-08,20:30,Union Berlin,0–0,Freiburg,22012,Stadion An der Alten Försterei,Tobias Reichel,/en/matches/05b458bf/Union-Berlin-Freiburg-November-8-2024-Bundesliga
GER-Bundesliga,2425,2024-11-09 Bochum-Leverkusen,2024-11-09,15:30,Bochum,1–1,Leverkusen,26000,Vonovia Ruhrstadion,Robert Hartmann,/en/matches/50ab5485/Bochum-Leverkusen-November-9-2024-Bundesliga
GER-Bundesliga,2425,2024-11-09 Mainz 05-Dortmund,2024-11-09,15:30,Mainz 05,3–1,Dortmund,33000,Mewa Arena,Florian Badstübner,/en/matches/ff7bcb61/Mainz-05-Dortmund-November-9-2024-Bundesliga
GER-Bundesliga,2425,2024-11-09 RB Leipzig-Gladbach,2024-11-09,18:30,RB Leipzig,0–0,Gladbach,46887,Red Bull Arena,Christian Dingert,/en/matches/639bf27f/RB-Leipzig-Monchengladbach-November-9-2024-Bundesliga
GER-Bundesliga,2425,2024-11-09 St Pauli-Bayern Munich,2024-11-09,15:30,St Pauli,0–1,Bayern Munich,29546,Millerntor-Stadion,Timo Gerach,/en/matches/213e9aea/St-Pauli-Bayern-Munich-November-9-2024-Bundesliga
GER-Bundesliga,2425,2024-11-09 Werder Bremen-Holstein Kiel,2024-11-09,15:30,Werder Bremen,2–1,Holstein Kiel,42100,Weserstadion,Sören Storks,/en/matches/58ac698f/Werder-Bremen-Holstein-Kiel-November-9-2024-Bundesliga
GER-Bundesliga,2425,2024-11-10 Augsburg-Hoffenheim,2024-11-10,15:30,Augsburg,0–0,Hoffenheim,28300,WWK Arena,Martin Petersen,/en/matches/67fa64af/Augsburg-Hoffenheim-November-10-2024-Bundesliga
GER-Bundesliga,2425,2024-11-10 Heidenheim-Wolfsburg,2024-11-10,19:30,Heidenheim,1–3,Wolfsburg,15000,Voith-Arena,Harm Osmers,/en/matches/27da1c68/Heidenheim-Wolfsburg-November-10-2024-Bundesliga
