league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-11-04 Atalanta-Inter,2023-11-04,18:00,Atalanta,1–2,Inter,14945,Gewiss Stadium,Simone Sozza,/en/matches/c8fcbfaf/Atalanta-Internazionale-November-4-2023-Serie-A
ITA-Serie A,2324,2023-11-04 Milan-Udinese,2023-11-04,20:45,Milan,0–1,Udinese,71018,Stadio Giuseppe Meazza,Juan Sacchi,/en/matches/8a7a42ac/Milan-Udinese-November-4-2023-Serie-A
ITA-Serie A,2324,2023-11-04 Salernitana-Napoli,2023-11-04,15:00,Salernitana,0–2,Napoli,16812,Stadio Arechi,Antonio Rapuano,/en/matches/ab7a7fcd/Salernitana-Napoli-November-4-2023-Serie-A
ITA-Serie A,2324,2023-11-05 Cagliari-Genoa,2023-11-05,15:00,Cagliari,2–1,Genoa,16412,Unipol Domus,Marco Guida,/en/matches/56068b2c/Cagliari-Genoa-November-5-2023-Serie-A
ITA-Serie A,2324,2023-11-05 Fiorentina-Juventus,2023-11-05,20:45,Fiorentina,0–1,Juventus,38225,Stadio Artemio Franchi,Daniele Chiffi,/en/matches/8603814f/Fiorentina-Juventus-November-5-2023-Serie-A
ITA-Serie A,2324,2023-11-05 Hellas Verona-Monza,2023-11-05,12:30,Hellas Verona,1–3,Monza,17505,Stadio Marc'Antonio Bentegodi,Giuseppe Collu,/en/matches/128aed93/Hellas-Verona-Monza-November-5-2023-Serie-A
ITA-Serie A,2324,2023-11-05 Roma-Lecce,2023-11-05,18:00,Roma,2–1,Lecce,64790,Stadio Olimpico,Andrea Colombo,/en/matches/4c1693f0/Roma-Lecce-November-5-2023-Serie-A
ITA-Serie A,2324,2023-11-06 Frosinone-Empoli,2023-11-06,18:30,Frosinone,2–1,Empoli,13229,Stadio Benito Stirpe,Gianluca Manganiello,/en/matches/5dfc2507/Frosinone-Empoli-November-6-2023-Serie-A
ITA-Serie A,2324,2023-11-06 Torino-Sassuolo,2023-11-06,20:45,Torino,2–1,Sassuolo,18000,Stadio Olimpico di Torino,Maria Sole Ferrieri Caputi,/en/matches/d9d399b5/Torino-Sassuolo-November-6-2023-Serie-A
ITA-Serie A,2324,2023-11-10 Genoa-Hellas Verona,2023-11-10,20:45,Genoa,1–0,Hellas Verona,30421,Stadio Comunale Luigi Ferraris,Daniele Orsato,/en/matches/1aa2417e/Genoa-Hellas-Verona-November-10-2023-Serie-A
ITA-Serie A,2324,2023-11-10 Sassuolo-Salernitana,2023-11-10,18:30,Sassuolo,2–2,Salernitana,10945,Mapei Stadium - Città del Tricolore,Davide Ghersini,/en/matches/3de0d6e2/Sassuolo-Salernitana-November-10-2023-Serie-A
ITA-Serie A,2324,2023-11-11 Juventus-Cagliari,2023-11-11,18:00,Juventus,2–1,Cagliari,39892,Allianz Stadium,Marco Piccinini,/en/matches/30bc4996/Juventus-Cagliari-November-11-2023-Serie-A
ITA-Serie A,2324,2023-11-11 Lecce-Milan,2023-11-11,15:00,Lecce,2–2,Milan,26480,Stadio Comunale Via Del Mare,Rosario Abisso,/en/matches/26587ad3/Lecce-Milan-November-11-2023-Serie-A
ITA-Serie A,2324,2023-11-11 Monza-Torino,2023-11-11,20:45,Monza,1–1,Torino,11777,U-Power Stadium,Daniele Doveri,/en/matches/2f8d44e3/Monza-Torino-November-11-2023-Serie-A
ITA-Serie A,2324,2023-11-12 Fiorentina-Bologna,2023-11-12,15:00,Fiorentina,2–1,Bologna,29750,Stadio Artemio Franchi,Fabio Maresca,/en/matches/0bdc5ea4/Derby-dellAppennino-Fiorentina-Bologna-November-12-2023-Serie-A
ITA-Serie A,2324,2023-11-12 Inter-Frosinone,2023-11-12,20:45,Inter,2–0,Frosinone,70816,Stadio Giuseppe Meazza,Federico Dionisi,/en/matches/93b6cf24/Internazionale-Frosinone-November-12-2023-Serie-A
