league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-10-02 Troyes-Reims,2022-10-02,15:00,Troyes,2–2,Reims,10164,Stade de l'Aube,Benoît Millot,/en/matches/1cbd26d0/Troyes-Reims-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-07 Lyon-Toulouse,2022-10-07,21:00,Lyon,1–1,Toulouse,41295,Groupama Stadium,Ruddy Buquet,/en/matches/3e063ecd/Lyon-Toulouse-October-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-08 Marseille-Ajaccio,2022-10-08,17:00,Marseille,1–2,Ajaccio,63312,Orange Vélodrome,Willy Delajod,/en/matches/98ad4323/Marseille-Ajaccio-October-8-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-08 Reims-Paris Saint-Germain,2022-10-08,21:00,Reims,0–0,Paris Saint-Germain,20543,Stade Auguste-Delaune,Pierre Gaillouste,/en/matches/71ccb83f/Reims-Paris-Saint-Germain-October-8-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Angers-Strasbourg,2022-10-09,15:00,Angers,2–3,Strasbourg,8000,Stade Raymond Kopa,Clément Turpin,/en/matches/bc649871/Angers-Strasbourg-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Brest-Lorient,2022-10-09,15:00,Brest,1–2,Lorient,9819,Stade Francis-Le Blé,Bastien Dechepy,/en/matches/173aef86/Brest-Lorient-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Clermont Foot-Auxerre,2022-10-09,15:00,Clermont Foot,2–1,Auxerre,11119,Stade Gabriel Montpied,Mathieu Vernice,/en/matches/d6cfdf2e/Clermont-Foot-Auxerre-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Lille-Lens,2022-10-09,20:45,Lille,1–0,Lens,48527,Stade Pierre-Mauroy,François Letexier,/en/matches/080e6d11/Lille-Lens-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Montpellier-Monaco,2022-10-09,13:00,Montpellier,0–2,Monaco,13048,Stade de la Mosson,Benoît Millot,/en/matches/1edc7eb2/Montpellier-Monaco-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Nice-Troyes,2022-10-09,15:00,Nice,3–2,Troyes,18053,Stade de Nice,Johan Hamel,/en/matches/d77bb56e/Nice-Troyes-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-09 Rennes-Nantes,2022-10-09,17:05,Rennes,3–0,Nantes,27844,Roazhon Park,Florent Batta,/en/matches/c2be4bef/Rennes-Nantes-October-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-14 Strasbourg-Lille,2022-10-14,21:00,Strasbourg,0–3,Lille,25313,Stade de la Meinau,Jérémie Pignard,/en/matches/5004b998/Strasbourg-Lille-October-14-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-15 Lens-Montpellier,2022-10-15,21:00,Lens,1–0,Montpellier,37320,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,/en/matches/7e2d7c1e/Lens-Montpellier-October-15-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-15 Lorient-Reims,2022-10-15,17:00,Lorient,0–0,Reims,15776,Stade du Moustoir,Mathieu Vernice,/en/matches/4fe522a8/Lorient-Reims-October-15-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-16 Auxerre-Nice,2022-10-16,15:00,Auxerre,1–1,Nice,14125,Stade de l'Abbé Deschamps,Eric Wattellier,/en/matches/a9ffc8fd/Auxerre-Nice-October-16-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-16 Monaco-Clermont Foot,2022-10-16,17:05,Monaco,1–1,Clermont Foot,4731,Stade Louis II,Ruddy Buquet,/en/matches/5e7b10f8/Monaco-Clermont-Foot-October-16-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-16 Nantes-Brest,2022-10-16,15:00,Nantes,4–1,Brest,25759,Stade de la Beaujoire - Louis Fonteneau,Marc Bollengier,/en/matches/d8787f23/Nantes-Brest-October-16-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-16 Paris Saint-Germain-Marseille,2022-10-16,20:45,Paris Saint-Germain,1–0,Marseille,47000,Parc des Princes,Clément Turpin,/en/matches/818de37e/Paris-Saint-Germain-Marseille-October-16-2022-Ligue-1
